年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,地理,江苏,新高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2025/地理/江苏/江苏卷/2025_地理_江苏卷_原卷.pdf,../../papers/2025/地理/江苏/江苏卷/2025_地理_江苏卷_OCR与考点.md,,pypdf,10
2025,地理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,../../papers/2025/地理/浙江/浙江卷/2025_地理_浙江卷_原卷.pdf,../../papers/2025/地理/浙江/浙江卷/2025_地理_浙江卷_OCR与考点.md,,pypdf,19
2025,地理,安徽,新高考,2024,地方/区域卷,local,安徽卷,done,../../papers/2025/地理/安徽/安徽卷/2025_地理_安徽卷_原卷.pdf,../../papers/2025/地理/安徽/安徽卷/2025_地理_安徽卷_OCR与考点.md,,pypdf,16
2025,地理,福建,新高考,2021,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,江西,新高考,2024,地方/区域卷,local,江西卷,missing,../../../..,../../../..,../../../..,,
2025,地理,山东,新高考,2020,地方/区域卷,local,山东卷,done,../../papers/2025/地理/山东/山东卷/2025_地理_山东卷_原卷.pdf,../../papers/2025/地理/山东/山东卷/2025_地理_山东卷_OCR与考点.md,,rapidocr,9
2025,地理,河南,新高考,2025,地方/区域卷,local,河南卷,done,../../papers/2025/地理/河南/河南卷/2025_地理_河南卷_原卷.pdf,../../papers/2025/地理/河南/河南卷/2025_地理_河南卷_OCR与考点.md,,pypdf,13
2025,地理,湖北,新高考,2021,地方/区域卷,local,湖北卷,done,../../papers/2025/地理/湖北/湖北卷/2025_地理_湖北卷_原卷.pdf,../../papers/2025/地理/湖北/湖北卷/2025_地理_湖北卷_OCR与考点.md,,pypdf,14
2025,地理,湖南,新高考,2021,地方/区域卷,local,湖南卷,done,../../papers/2025/地理/湖南/湖南卷/2025_地理_湖南卷_原卷.pdf,../../papers/2025/地理/湖南/湖南卷/2025_地理_湖南卷_OCR与考点.md,,pypdf,16
2025,地理,广东,新高考,2021,地方/区域卷,local,广东卷,done,../../papers/2025/地理/广东/广东卷/2025_地理_广东卷_原卷.pdf,../../papers/2025/地理/广东/广东卷/2025_地理_广东卷_OCR与考点.md,,pypdf,5
2025,地理,广西,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,海南,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,重庆,新高考,2021,地方/区域卷,local,重庆卷,missing,../../../..,../../../..,../../../..,,
2025,地理,四川,新高考,2025,地方/区域卷,local,四川卷,missing,../../../..,../../../..,../../../..,,
2025,地理,贵州,新高考,2024,地方/区域卷,local,贵州卷,missing,../../../..,../../../..,../../../..,,
2025,地理,云南,新高考,2025,地方/区域卷,local,云南卷,done,../../papers/2025/地理/云南/云南卷/2025_地理_云南卷_原卷.pdf,../../papers/2025/地理/云南/云南卷/2025_地理_云南卷_OCR与考点.md,,pypdf,14
2025,地理,西藏,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,陕西,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/地理/陕西/山西卷/2025_地理_陕西山西卷_原卷.pdf,../../papers/2025/地理/陕西/山西卷/2025_地理_陕西山西卷_OCR与考点.md,,pypdf,16
2025,地理,甘肃,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
